水闸名称,经度,纬度,所在行政区,所在地点,所在河流,水闸孔数,闸孔净宽,闸底板高程,闸门顶高程,闸墩高程,排架高程,闸门型式,启闭机,启闭机型式,电机功率,设计标准
"水闸1","121.155600","30.043000","东朝街社区",,,,,,,,,,,,,
"大河桥闸","121.08417","30.0425","兰江街道","兰江街道郭相桥","郭相桥江","1",2.5,,,"3.3","6.6","平板门","1","螺杆式","2.2",20
"老胡家闸","121.09583","30.0478","兰江街道","兰江街道郭相桥","东江","1",2.5,,,"3.03","6.53","平板门","1","螺杆式","2.2",20
"牛头山闸","121.06972","30.0328","兰江街道","兰江街道牛头山","城南干渠","1",2.0,,,"3.5","6","平板门","1","螺杆式","2.2",10
"低管闸","121.0875","30.0267","兰江街道","兰江街道郭相桥","城南干渠","2",2.2,,,"3","5.2","平板门","2","螺杆式","2.2",10
"湖头庙闸","121.09417","30.0197","兰江街道","兰江街道石婆桥","城南干渠","1",1.8,,,"2.6","5.6","平板门","1","螺杆式","2.2",10
"前溪湖闸","121.08889","30.0303","兰江街道","兰江街道郭相桥","横江","1",3.0,,,"3","5.3","平板门","1","螺杆式","3",10
"永明闸","121.09028","30.0228","兰江街道","兰江街道石婆桥","城南干渠","1",2.0,,,"2.6","5.6","平板门","1","螺杆式",,10
"黄山畈村","121.13833","30.015","谭家岭村","兰江街道谭家岭村","新河","1",2.0,,,"4.4","3.75","平板门","1","螺杆式","2.2",20
"田基浦闸","121.14","30.0347","谭家岭村","兰江街道谭家岭村","田基浦河","2",2.5,,,"1","2.5","升卧式","2","卷扬式","6",20
"瓦窑头闸","121.10667","30.0072","凤亭村","兰江街道凤亭村","城南干渠","2",2.0,,,"2.6","5.6","平板门","2","螺杆式","2.2",10
"陈巷闸","121.11222","30.0028","凤亭村","兰江街道凤亭村","城南干渠","1",3.0,,,"3.8","6.5","平板门","1","螺杆式","3",10
"上桥头闸","121.11194","30.0136","石婆桥村","兰江街道石婆桥村","庙沿江","1",2.0,,,"3.7","7.3","平板门","1","螺杆式","2.2",20
"樟树下江闸","121.11028","30.035","丰杨河村","兰江街道丰杨河村","西杨江","1",2.5,,,"3.33","6.93","平板门","1","螺杆式","3",20
"阮公江闸","121.11","30.0347","丰杨河村","兰江街道丰杨河村","阮公江","1",2.0,,,"3.4","6.4","平板门","1","螺杆式","2.2",20
"烧香埠头闸","121.09583","30.0378","丰杨河村","兰江街道丰杨河村","阮公江","1",2.5,,,"3.7","7.7","平板门","1","螺杆式","2.2",20
"黄浪闸","121.12917","30.0333","三凤桥村","兰江街道三凤桥村","黄浪闸江","1",4.0,,,"4.13",,"平板门","1","升卧式","6",20
"颜家闸","121.12444","30.0317","三凤桥村","兰江街道三凤桥村","颜家江","1",3.0,,,"3.4","6.4","平板门","1","螺杆式","3",20
"郑家江闸","121.13194","30.0225","三凤桥村","兰江街道三凤桥村","溪凤桥江","1",2.0,,,"4.18","7.33","平板门","1","螺杆式","2.2",20
"溪凤桥江闸","121.13167","30.0231","三凤桥村","兰江街道三凤桥村","溪凤桥江","2",3.0,,,"3","6.3","平板门","2","螺杆式","3",20
"满山头闸","121.05444","30.0358","夏巷村","兰江街道夏巷村","城南干渠","1",3.0,,,"3.5","7","平板门","1","螺杆式","2.2",10
"史家庄闸","121.11333","30.04","兰墅桥村","兰江街道兰墅桥村","史家庄江","1",2.0,,,"3.5","7.2","平板门","1","螺杆式","2.2",20
"南闸","121.12611","30.0333","兰墅桥村","兰江街道兰墅桥村","五里牌江","1",2.3,,,"3","6.5","平板门","1","螺杆式","2.2",20
"玉井亭闸","121.118","30.069","康山村","阳明街道康山村","康山排涝河","1",2.5,,,"4.1","7.8","平板式","1","螺杆式","3",20
"山头江闸","121.084","30.051","群立村","阳明街道群立村","群力村江","1",2.5,,,"3.36","7.66","平板式","1","螺杆式","3",20
"大程堰闸","121.101","30.117","梁堰村","阳明街道梁堰村","大程堰西江","1",3.0,,,"4.13","7.83","平板式","1","螺杆式","3",20
"梁堰后闸","121.101","30.117","梁堰村","阳明街道梁堰村","半槽江","1",3.0,,,"4.13","7.83","平板式","1","螺杆式","3",20
"石家闸","121.118","30.101","梁堰村","阳明街道梁堰村","景桥江","1",3.0,,,"3.36","7.86","平板式","1","螺杆式","3",20
"谷家堰闸","121.117","30.084","旗山村","阳明街道旗山村","谷家堰江","1",3.0,,,"2.66","7.46","平板式","1","螺杆式","3",20
"夏林桥闸","121.119","30.085","旗山村","阳明街道旗山村","撑水江","1",3.1,,,"2.86","7.36","平板式","1","螺杆式","3",20
"肖家闸","121.101","30.085","旗山村","阳明街道旗山村","董家横河","/",2.2,,,"3.37","6.47","平板式","/","手摇式","/",20
"岭下闸","121.084","30.067","潘巷村","阳明街道潘巷村","潘巷直河","1",2.8,,,,,"平板式","1","螺杆式","3",20
"报房村闸","121.134","30.085","北郊村","阳明街道北郊村","百字地直河","1",2.5,,,"2.83","6.83","平板式","1","螺杆式","3",20
"谢家闸","121.151","30.102","北郊村","阳明街道北郊村","后横河","1",2.6,,,"3.33","7.93","平板式","1","螺杆式","3",20
